Year,Region,RegionIndex,KER_price ($/kg),CO2_price ($/kgCO2)
2005,AFE,0,0.464973089,0.0
2005,AFN,1,0.464973089,0.0
2005,AFW,2,0.464973089,0.0
2005,AFZ,3,0.464973089,0.0
2005,NIG,4,0.464973089,0.0
2005,RUS,5,0.464973089,0.0
2005,ASC,6,0.464973089,0.0
2005,ASE,7,0.464973089,0.0
2005,CHN,8,0.464973089,0.0
2005,IDN,9,0.464973089,0.0
2005,IND,10,0.464973089,0.0
2005,ASO,11,0.464973089,0.0
2005,JPN,12,0.464973089,0.0
2005,SKT,13,0.464973089,0.0
2005,ANZ,14,0.464973089,0.0
2005,USA,15,0.464973089,0.0
2005,CAN,16,0.464973089,0.0
2005,LAM,17,0.464973089,0.0
2005,BRA,18,0.464973089,0.0
2005,MEX,19,0.464973089,0.0
2005,CHL,20,0.464973089,0.0
2005,ENE,21,0.464973089,0.0
2005,ENW,22,0.464973089,0.0
2005,EUE,23,0.464973089,0.0
2005,EUW,24,0.464973089,0.0
2005,EUM,25,0.464973089,0.0
2005,MEA,26,0.464973089,0.0
2005,MDA,27,0.464973089,0.0
2005,UK,28,0.464973089,0.0
2006,AFE,0,0.464973089,0.0
2006,AFN,1,0.464973089,0.0
2006,AFW,2,0.464973089,0.0
2006,AFZ,3,0.464973089,0.0
2006,NIG,4,0.464973089,0.0
2006,RUS,5,0.464973089,0.0
2006,ASC,6,0.464973089,0.0
2006,ASE,7,0.464973089,0.0
2006,CHN,8,0.464973089,0.0
2006,IDN,9,0.464973089,0.0
2006,IND,10,0.464973089,0.0
2006,ASO,11,0.464973089,0.0
2006,JPN,12,0.464973089,0.0
2006,SKT,13,0.464973089,0.0
2006,ANZ,14,0.464973089,0.0
2006,USA,15,0.464973089,0.0
2006,CAN,16,0.464973089,0.0
2006,LAM,17,0.464973089,0.0
2006,BRA,18,0.464973089,0.0
2006,MEX,19,0.464973089,0.0
2006,CHL,20,0.464973089,0.0
2006,ENE,21,0.464973089,0.0
2006,ENW,22,0.464973089,0.0
2006,EUE,23,0.464973089,0.0
2006,EUW,24,0.464973089,0.0
2006,EUM,25,0.464973089,0.0
2006,MEA,26,0.464973089,0.0
2006,MDA,27,0.464973089,0.0
2006,UK,28,0.464973089,0.0
2007,AFE,0,0.464973089,0.0
2007,AFN,1,0.464973089,0.0
2007,AFW,2,0.464973089,0.0
2007,AFZ,3,0.464973089,0.0
2007,NIG,4,0.464973089,0.0
2007,RUS,5,0.464973089,0.0
2007,ASC,6,0.464973089,0.0
2007,ASE,7,0.464973089,0.0
2007,CHN,8,0.464973089,0.0
2007,IDN,9,0.464973089,0.0
2007,IND,10,0.464973089,0.0
2007,ASO,11,0.464973089,0.0
2007,JPN,12,0.464973089,0.0
2007,SKT,13,0.464973089,0.0
2007,ANZ,14,0.464973089,0.0
2007,USA,15,0.464973089,0.0
2007,CAN,16,0.464973089,0.0
2007,LAM,17,0.464973089,0.0
2007,BRA,18,0.464973089,0.0
2007,MEX,19,0.464973089,0.0
2007,CHL,20,0.464973089,0.0
2007,ENE,21,0.464973089,0.0
