Country_ISO3,Country_Index,OMNIA_region
ABW,0,LAM
ANT,1,LAM
ARE,2,MEA
ARG,3,LAM
ARM,4,ASC
ATG,5,LAM
AUS,6,ANZ
AUT,7,EUW
AZE,8,ASC
BEL,9,EUW
BGD,10,ASO
BGR,11,EUE
BHR,12,MEA
BHS,13,LAM
BLZ,14,LAM
BOL,15,LAM
BRA,16,BRA
BRB,17,LAM
BRN,18,ASE
CAN,19,CAN
CHE,20,ENW
CHL,21,CHL
CHN,22,CHN
CIV,23,AFW
CMR,24,AFW
COD,25,AFW
COG,26,AFW
COL,27,LAM
CRI,28,LAM
CUB,29,LAM
CYM,30,LAM
CYP,31,EUM
CZE,32,EUE
DEU,33,EUW
DNK,34,EUW
DOM,35,LAM
DZA,36,AFN
ECU,37,LAM
EGY,38,AFN
ESP,39,EUM
EST,40,EUE
ETH,41,AFE
FIN,42,EUW
FJI,43,ASE
FRA,44,EUM
GAB,45,AFW
GBR,46,ENW
GHA,47,AFW
GLP,48,LAM
GRC,49,EUM
GRD,50,LAM
GTM,51,LAM
GUM,52,ASE
HKG,53,CHN
HND,54,LAM
HRV,55,EUE
HTI,56,LAM
HUN,57,EUE
IDN,58,IDN
IND,59,IND
IRL,60,EUW
IRN,61,MEA
ISL,62,ENW
ISR,63,MDA
ITA,64,EUM
JAM,65,LAM
JOR,66,MDA
JPN,67,JPN
KAZ,68,ASC
KEN,69,AFE
KHM,70,ASE
KNA,71,LAM
KOR,72,SKT
KWT,73,MEA
LBN,74,MDA
LCA,75,LAM
LKA,76,ASO
LTU,77,EUE
LUX,78,EUW
LVA,79,EUE
MAC,80,CHN
MAR,81,AFN
MDG,82,AFE
MDV,83,ASO
MEX,84,MEX
MLT,85,EUM
MMR,86,ASE
MUS,87,AFE
MYS,88,ASE
NAM,89,AFZ
NCL,90,ASE
NGA,91,NIG
NIC,92,LAM
NLD,93,EUW
NOR,94,ENW
NPL,95,ASO
NZL,96,ANZ
OMN,97,MEA
PAK,98,ASO
PAN,99,LAM
PER,100,LAM
PHL,101,IDN
PNG,102,ASE
POL,103,EUE
PRI,104,LAM
PRT,105,EUM
PRY,106,LAM
PYF,107,ASE
QAT,108,MEA
ROU,109,EUE
RUS,110,RUS
SAU,111,MEA
SDN,112,AFE
SEN,113,AFW
SGP,114,ASE
SLV,115,LAM
SRB,116,ENE
SVK,117,EUE
SVN,118,EUE
SWE,119,EUW
SYC,120,AFE
TCA,121,LAM
TGO,122,AFW
THA,123,ASE
TTO,124,LAM
TUN,125,AFN
TUR,126,MDA
TWN,127,SKT
TZA,128,AFE
UGA,129,AFE
UKR,130,ENE
URY,131,LAM
USA,132,USA
UZB,133,ASC
VEN,134,LAM
VGB,135,LAM
VIR,136,USA
VNM,137,IDN
ZAF,138,AFZ
ZWE,139,AFZ
